Nombre,Codigo,Tipo,Categoria,Cantidad,Ubicacion,Caracteristicas
Zócalo IC DIP-8,INS-051,consumible,Componentes Digitales,200,Laboratorio de Electrónica,Zócalo para circuito integrado DIP-8
Zócalo IC DIP-14,INS-052,consumible,Componentes Digitales,180,Laboratorio de Electrónica,Zócalo para circuito integrado DIP-14
Zócalo IC DIP-16,INS-053,consumible,Componentes Digitales,160,Laboratorio de Electrónica,Zócalo para circuito integrado DIP-16
Microcontrolador ATmega328P,INS-054,consumible,Componentes Digitales,80,Laboratorio de Electrónica,Microcontrolador AVR 8-bit DIP-28
Microcontrolador PIC16F877A,INS-055,consumible,Componentes Digitales,60,Laboratorio de Electrónica,Microcontrolador PIC 8-bit DIP-40
Sensor de Temperatura LM35,INS-056,consumible,Componentes Analógicos,90,Laboratorio de Electrónica,Sensor de temperatura -55°C a 150°C
Sensor de Humedad DHT11,INS-057,consumible,Componentes Digitales,70,Laboratorio de Electrónica,Sensor de humedad y temperatura
Sensor de Humedad DHT22,INS-058,consumible,Componentes Digitales,50,Laboratorio de Electrónica,Sensor de humedad y temperatura precisión alta
Sensor Ultrasónico HC-SR04,INS-059,consumible,Componentes Digitales,60,Laboratorio de Electrónica,Sensor de distancia ultrasónico 2cm-400cm
Módulo Bluetooth HC-05,INS-060,consumible,Componentes Digitales,40,Laboratorio de Electrónica,Módulo Bluetooth serial SPP
Módulo WiFi ESP8266,INS-061,consumible,Componentes Digitales,30,Laboratorio de Electrónica,Módulo WiFi ESP8266-01
Módulo Relay 5V 1 Canal,INS-062,consumible,Componentes Digitales,80,Laboratorio de Electrónica,Módulo relay 10A 250VAC
Módulo Relay 5V 2 Canales,INS-063,consumible,Componentes Digitales,60,Laboratorio de Electrónica,Módulo relay 2 canales 10A
Módulo Display LCD 16x2,INS-064,consumible,Componentes Digitales,50,Laboratorio de Electrónica,Display LCD 16x2 con backlight
Módulo Display LCD 20x4,INS-065,consumible,Componentes Digitales,35,Laboratorio de Electrónica,Display LCD 20x4 con backlight
Módulo Matriz LED 8x8,INS-066,consumible,Componentes Digitales,40,Laboratorio de Electrónica,Matriz LED 8x8 con MAX7219
Módulo RTC DS3231,INS-067,consumible,Componentes Digitales,45,Laboratorio de Electrónica,Reloj de tiempo real con batería
Módulo SD Card,INS-068,consumible,Componentes Digitales,35,Laboratorio de Electrónica,Lector de tarjetas SD SPI
Módulo Joystick PS2,INS-069,consumible,Componentes Analógicos,55,Laboratorio de Electrónica,Módulo joystick con pulsador
Módulo Sensor de Gas MQ-2,INS-070,consumible,Componentes Analógicos,40,Laboratorio de Electrónica,Sensor de gas inflamable y humo
Módulo Sensor de Gas MQ-135,INS-071,consumible,Componentes Analógicos,35,Laboratorio de Electrónica,Sensor de calidad de aire
Módulo Sensor de Luz LDR,INS-072,consumible,Componentes Analógicos,70,Laboratorio de Electrónica,Sensor de luz con LDR
Módulo Encoder Rotativo,INS-073,consumible,Componentes Digitales,45,Laboratorio de Electrónica,Encoder rotativo con pulsador
Módulo Driver Motor L298N,INS-074,consumible,Componentes Digitales,30,Laboratorio de Electrónica,Driver puente H dual 2A
Módulo Servomotor SG90,INS-075,consumible,Componentes Digitales,50,Laboratorio de Electrónica,Servomotor 9g 180 grados
Módulo Servomotor MG995,INS-076,consumible,Componentes Digitales,25,Laboratorio de Electrónica,Servomotor metálico alto torque
Módulo Motor Paso a Paso 28BYJ-48,INS-077,consumible,Componentes Digitales,20,Laboratorio de Electrónica,Motor paso a paso con driver ULN2003
Módulo Driver LED WS2812B,INS-078,consumible,Componentes Digitales,60,Laboratorio de Electrónica,Tira LED RGB direccionable
Módulo Sensor de Corriente ACS712,INS-079,consumible,Componentes Analógicos,35,Laboratorio de Electrónica,Sensor de corriente 5A Hall effect
Módulo Sensor de Voltaje,INS-080,consumible,Componentes Analógicos,40,Laboratorio de Electrónica,Divisor de voltaje DC 0-25V
Transformador 12V 1A,INS-081,consumible,Componentes Analógicos,30,Laboratorio de Electrónica,Transformador AC-DC 12V 1A
Fuente Regulada 5V 2A,INS-082,consumible,Componentes Analógicos,25,Laboratorio de Electrónica,Fuente switching 5V 2A
Batería Li-Ion 18650,INS-083,consumible,Componentes Analógicos,50,Laboratorio de Electrónica,Batería recargable 3.7V 2600mAh
Portapilas 4xAA,INS-084,consumible,Componentes Analógicos,40,Laboratorio de Electrónica,Portapilas 4 pilas AA con tapa
Adaptador AC-DC 9V 1A,INS-085,consumible,Componentes Analógicos,35,Laboratorio de Electrónica,Adaptador de corriente 9V
Protoboard 830 Puntos,INS-086,consumible,Componentes Digitales,40,Laboratorio de Electrónica,Protoboard estándar 830 puntos
Protoboard 400 Puntos,INS-087,consumible,Componentes Digitales,50,Laboratorio de Electrónica,Protoboard pequeña 400 puntos
Pinza de Corte Diagonal,INS-088,activo,Componentes Analógicos,20,Laboratorio de Electrónica,Pinza de corte electrónica 135mm
Pinza de Punta,INS-089,activo,Componentes Analógicos,15,Laboratorio de Electrónica,Pinza de punta recta 150mm
Desarmador Estrella,INS-090,activo,Componentes Analógicos,25,Laboratorio de Electrónica,Desarmador Phillips #2
Desarmador Plano,INS-091,activo,Componentes Analógicos,25,Laboratorio de Electrónica,Desarmador plano 3mm
Pelacables Automático,INS-092,activo,Componentes Analógicos,12,Laboratorio de Electrónica,Pelacables automático regulable
Estación de Soldadura,INS-093,activo,Componentes Analógicos,8,Laboratorio de Electrónica,Estación de soldadura 60W con control de temperatura
Soldadura en Pasta 50g,INS-094,consumible,Componentes Analógicos,30,Laboratorio de Electrónica,Pasta de soldadura SMD 50g
Flux en Pasta 30cc,INS-095,consumible,Componentes Analógicos,25,Laboratorio de Electrónica,Flux para soldadura no limpio
Desoldador de Succión,INS-096,activo,Componentes Analógicos,15,Laboratorio de Electrónica,Desoldador bomba de succión
Malla Desoldadora 1.5m,INS-097,consumible,Componentes Analógicos,20,Laboratorio de Electrónica,Malla de cobre para desoldar
Tweezer Anti-estática,INS-098,activo,Componentes Analógicos,18,Laboratorio de Electrónica,Pinza antiestática de precisión
Pasta Térmica 5g,INS-099,consumible,Componentes Analógicos,40,Laboratorio de Electrónica,Pasta térmica para disipadores
Limpiador de PCB 200ml,INS-100,consumible,Componentes Analógicos,35,Laboratorio de Electrónica,Isopropanol 99% para limpieza
